,y,y.1
0,50,1089
1,50,1039
2,50,1000
3,50,965
4,50,942
5,50,921
6,55,903
7,66,880
8,81,858
9,94,831
10,95,803
11,107,771
12,119,748
13,129,720
14,138,685
15,153,656
16,175,619
17,189,587
18,205,551
19,217,522
20,219,494
21,231,466
22,234,448
23,240,428
24,247,412
25,258,394
26,264,371
27,269,354
28,270,327
29,279,312
30,278,290
31,282,266
32,294,254
33,302,251
34,314,224
35,317,204
36,323,201
37,323,188
38,329,169
39,335,169
40,329,151
41,326,148
42,319,156
43,316,158
44,321,152
45,321,171
46,326,154
47,323,154
48,320,155
49,316,159
50,316,151
51,316,141
52,316,156
53,318,150
54,320,158
55,320,142
56,316,145
57,320,144
58,318,141
59,316,160
60,316,150
61,314,145
62,313,148
63,313,139
64,311,154
65,309,156
66,305,148
67,306,138
68,309,134
69,304,145
70,300,134
71,299,131
72,302,133
73,299,141
74,294,146
75,299,145
76,301,144
77,304,142
78,301,146
79,308,147
80,302,145
81,301,160
82,301,148
83,303,148
84,303,155
85,301,148
86,301,152
87,300,142
88,295,145
89,294,140
90,294,144
91,292,137
92,293,135
93,296,127
94,294,121
95,294,108
96,287,117
97,284,123
98,286,123
99,281,139
100,279,132
101,280,147
102,285,147
103,290,158
104,292,145
105,293,143
106,291,137
107,292,149
108,291,144
109,294,133
110,293,136
111,297,137
112,297,154
113,294,142
114,292,150
115,291,146
116,296,141
117,293,133
118,294,142
119,293,142
120,293,148
121,291,142
122,293,141
123,292,142
124,299,142
125,296,149
126,296,140
127,300,145
128,301,150
129,299,148
130,300,141
131,299,145
132,299,158
133,300,140
134,298,141
135,294,133
136,293,134
137,296,134
138,293,138
139,291,136
140,288,138
141,289,139
142,287,149
143,287,149
144,287,141
145,288,139
146,292,136
147,290,142
148,284,144
149,282,142
150,283,148
151,282,153
152,283,156
153,287,156
154,288,161
155,291,157
156,293,149
157,291,151
158,295,147
159,298,135
160,296,146
161,297,150
162,296,149
163,293,150
164,286,155
165,282,160
166,282,163
167,279,174
168,278,176
169,276,177
170,278,174
